INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,May/I/call/you/dizzy/dog?,You/may/sing/and/dance/without/my help/now.,You/must/not/take/the/elevator/today.,Do/they/know/about/you/a/little?,I/play/with/my/cute/cat/every/evening.,You/may/remove/my/tattoo,Is/he/going/to/worry/about/money/after lunch?,He/isn’t/going/to/live/with/her/forever.,Are/they/going/to quit/drinking/for/the/first time?,I’m/not/going/to/clean/the/bathroom/before class,They’re/going/to/put/your/key/under/the desk,Can/she/understand/your/Japanese?,We/can't/buy/the/same/book/in/Japan,Did/you/move/the/goalposts/last/night?,I/cheered/your/soccer/team,I/drew/a/beautiful/scene/with/a/big brush,I/didn't/meet/your/friend/there,He/could/dance/to/your/song,She/couldn't/find/a/hi-tech/company,They/didn’t/talk/nonsense/yesterday,"Please,/hide/my/pocket/money/in/your/car!"
11,May/I/show/this/hot/pepper/to/a gorilla?,You/may/take/this/book/and/burn/it.,You/must/not/open/your/mouth/in/the mud.,Do/they/meet/you/every/Wednesday?,They/don’t/play/baseball/with/my/father/every morning,You/must/not/remove/my/tattoo,Is/he/going/to drink/a cup/of/coffee/after dinner?,He/isn’t/going/to/go to/the/flower shop/this Monday,Are/they/going/to/wear/a/helmet/for safety?,We’re/going/to/get/back/to/our hometown/next year,They/aren’t/going/to/put/your key/under/the desk,Can/they/understand/her/English?,He/can/wash/his/face/with/his/right shoulder,Did/you/dream/a/fantastic/dream/last/night?,I/dreamed/a/good/dream/last/night,I/did/it/for/your/success,I/didn't/close/the/back/door/suddenly,They/could/sell/a lot of/umbrellas/in/the/rainy season,He/couldn't/open/his/mouth/in/the/smog,May/I/see/your/report/card?,Do/you/go/to/the prison/by/bus/every day?
12,May/I/sell/the/salty banana/to/that/monkey?,You/may/show/my/diary/to/her.,You/must/not/throw/away/trash/on/the street.,Do/they/meet/together/every/Wednesday?,They/make/a/snowman/on/a/rainy/day,Do/they/take/care/of/the/poor baby/every morning?,Is/she/going/to/make/a noise/in/a tunnel?,He’s/going/to/meet/the/queen/this/evening,Are/they/going/to/wear/a mask/for/their lung?,We’re/going/to/win/the/gold/medal/at Olympics,Are/we/going/to/move/to/the USA/next year?,Can/he/know/our/dream?,We/can/think/about/a/crying/tree/everyday,Did/you/take/out/a/pencil/suddenly?,I/taught/swimming/to/him,I/played/the/piano/on/the/high/mountain,I/didn't/go/swimming/with/her,We/could/introduce/the/game/to/a/student,We/couldn't/have/a/snowball/fight/against/them,You/may/give/my/newspaper/to/her,Can/you/explain/the/story/in/English?
13,May/I/stay/here/today?,You/may/meet/your/eye/doctor/here.,You/must/not/build/a/snowman/with/red salt,Do/they/read/a/magazine/every/Wednesday?,We/don’t/play/soccer/on/a/snowy/day,They/take/care/of/the/poor/baby/every morning,Is/she/going/to/meet/the/dentist/tomorrow?,He/isn’t/going/to/do/it/next/Wednesday,Are/they/going/to/work/hard/for/their future?,They’re/going/to/win/the/bronze/medal/at Olympics,We’re/going/to/move/to/the/USA/next year,Can/she/explain/her/dream/in/Japanese?,I/can’t/display/a/brand/new/diamond/ring,Did/you/have/a/good/vacation/with/him?,I/had/a/fantastic/time/with/him.,I/sold/his/gold/ring/to/her,I/didn't/sing/Hallelujah/at/his/birthday/party,He/could/live/on/the/water/safely,I/couldn't/take/a/rest/at/all/yesterday,Is/she/going/to/clean/the/bathroom/after school?,I/would/like/to/call/you/tonight
14,May/I/hide/your/money/here?,You/may/sell/my/lovely/tiger/to/them.,You/must/not/pat/a/sleeping/baby.,Do/they/draw/your/face/on/the wall/every hour?,They/throw/away/trash/on/a/windy/day,They/don't/take/care/of/the/poor baby/every morning,Is/he/going/to/take/your uncle/to/the island?,She’s/going/to/do/something/for/you/tomorrow,Are/they/going/to/buy/a mouthpiece/for/their teeth?,I’m/going/to/turn/on/your/cell/phone,We/aren’t/going/to/move/to/the USA/next year,Can/they/explain/it/to/you/easily?,You/can/use/this/discount/coupon/anywhere,Did/you/show/your/muscle/to/her?,I/gave/our/book/to/her,I/got/up/early/this/morning,I/didn't/forget/his/password/just/in/case,She/could/hear/the/story/everyday,You/couldn't/taste/her/delicious/side/dish,Can/she/catch/my/fast/ball?,I/had/to/use/your/eraser
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,May/I/use/your/data?,You/may/work/with/us/in/the/garden.,You/must/not/fight/against/them/tonight.,Do/they/sleep/in/your/house/every/night?,They/sleep/in/their/house/on/a/sunny/day.,May/I/drink/water?,Is/he/going/to/do/it/before/sleeping?,He’s/going/to/drive/a/car/in/the fog.,Are/they/going/to/run/away/from/the zoo?,I’m/going/to/bring/a/flower/to/you tonight.,Are/they/going/to/explain/it/in/English?,Can/he/clean/her/living/room/tomorrow?,They/can’t/burn/the/trash/there.,Did/you/clean/this/large/classroom/yesterday?,I/cleaned/that/clean/classroom/yesterday.,I/drank/your/white/cocoa.,I/didn't/learn/a/pop/song/here.,You/could/be/a/legend/to/Korean/people.,He/couldn't/solve/the/nonsense/quiz.,May/I/take/a/picture/of/you?,May/I/take/a/picture/of/you?
20,May/I/forget/you/forever?,You/may/wear/slippers/here.,You/must/not/exchange/her/eyebrows.,Do/they/know/your/running/speed?,They/don't/burn/trash/on/a/windy/day.,You/may/drink/water.,Is/he/going/to/wake/me/up/tomorrow morning?,She/isn’t/going/to/kiss/a/dirty/pig.,Are/they/going/to/swim/with him/in/the rain?,I’m/not/going/to show/this/smoking gun/to/the judge.,They’re/going/to/explain/it/in/English.,Can/she/dry/her/hair/with/a/hair dryer?,We/can/break/the/broken/brake.,Did/you/read/my/text/message?,I/read/an/easy/English/book.,I/lived/there/ten/years/ago.,I/didn't/know/your/address/yesterday.,He/could/jump/fast/like/the/white/frog.,She/couldn't/run/away/from/home.,Is/she/going/to/water/ski/on/the water?,Is/she/going/to/water/ski/on/the water?
21,May/I/do/it/step/by/step?,You/may/wake/up/your/father/now.,You/must/not/run/away/from/home.,Do/they/have/membership/cards?,We/look/at/the/sun/on/a/cloudy day.,You/must/not/drink/water.,Is/he/going/to/ask/you/an/English question?,She/isn’t/going/to/watch/the/horror movie/next Sunday.,Are/they/going/to/play/golf/in/the snow?,They’re/going/to/study/etiquette/with/a/rude father.,They/aren’t/going/to/explain/it/in/English.,Can/they/keep/the/important/appointment/this/time?,Her/mother/can/buy/cigarettes/at/a store/in this case.,Did/you/fail/the/final/English/test/last week?,I/did/your/science/homework.,I/quit/smoking/three/days/ago.,I/didn't/quit/smoking/three/days/ago.,She/could/drink/clean/water/for/her/health.,He/couldn't/call/his/father frog/just/in/case.,Do/they/go/to/the/aquarium/every/weekend?,Do/they/go/to/the/aquarium/every/weekend?
22,May/I/change/their/life/style?,You/may/help/me/buy/a/recipe/book.,You/must/not/marry/her/scary/uncle.,Do/they/use/new/information/everyday?,They/sell/an/ice cream/in Siberia/on/a/cold day.,Do/they/have/a snowball/fight/on/a/snowy day?,Is/she/going/to/follow/a/thief?,He's/going/to/go/boil sugar/water/next Friday.,Are/they/going/to/post/her/picture/on facebook?,We/aren’t/going/to/punch/them.,Is/he/going/to/hug/the/lonely/tree tonight?,Can/he/touch/the/hot/chopsticks?,We/can’t/change/the/original/plan.,Did/you/make/a lot of/rain/with/this/big cloud?,I/hit/the/cloud/with/this/baseball/bat.,I/passed/the/difficult/English/test.,I/didn't/thank/you/for/your/help.,We/could/make/some/pocket/money/last/spring.,We/couldn't/hear/his/song/anymore.,They/can’t/drive/a/big/truck/in/the fog.,They/can’t/drive/a/big/truck/in/the fog.
23,May/I/call/this/bread/in/English?,You/may/change/your/life/style/perfectly.,You/must/not/meet/her/in/the/prison.,Do/they/eat/rice/for/lunch/every/Monday?,We/take/off/our/raincoats/on/a/rainy day.,They/have/a/snowball/fight/on/a/snowy day.,Is/she/going/to/pull/her/left/ear carefully?,She/isn’t/going/to/use/the/English dictionary/tomorrow.,Are/they/going/to/take a picture/of/my/wide face?,They/aren’t/going/to/bother/my/dog.,He’s/going/to/hug/the/lonely/tree/tonight.,Can/she/hide/your/pocket/money/in/her pocket?,They/can't/go/to/a/new/world/by missile.,Did/you/get/an/important/message/from/her?,I/checked/your/message/an/hour/ago.,I/grew/that/tree.,I/didn't/spend/a/night/in/Seoul.,I/could/show/rock/in/the/rock-paper-scissors/game.,You/couldn't/fix/her/locker/last/Friday.,Are/they/going/to/quit/smoking/for/me?,Are/they/going/to/quit/smoking/for/me?
24,May/I/use/her/password?,You/may/make/a/pencil/with/this/tree.,You/must/not/download/my/baby's/naked/picture.,Do/they/forgive/God/every/Sunday?,They/cry/on/their/wedding/day.,They/don't/have/a snowball/fight/on/a/snowy day.,Is/he/going/to/eat/that/pumpkin/deliciously,She’s/going/to/bring/his/necklace/this/Tuesday.,Are/they/going/to/take a picture/of/her/house?,We/aren’t/going/to/catch/the/noisy/fly.,He/isn’t/going/to/hug/the/lonely/tree tonight.,Can/they/introduce/me/in/Japanese?,She/can draw/your face/on/the/wall paper/with/a brush.,Did/you/fly/low/like/an/eagle?,I/stole/your/discount/coupon.,I/knew/your/address/yesterday.,I/didn't/grow/that/tree/last/fall.,You/could/check/the/date/yesterday.,She/couldn't/sell/the/stick/candy/to/them.,We/can’t/borrow/the/newspaper/from/him.,We/can’t/borrow/the/newspaper/from/him.
25,May/I/wait/for her/in/front/of/your factory?,You/may/turn/up/the/volume.,You/must/not/go/to/heaven/with/your grandmother.,Do/they/sleep/on/a/cozy/sofa/every night?,They/take/off/their/socks/on/cold/days.,May/I/go/out/now?,Is/he/going/to/introduce/himself/to/you?,She/isn't/going/to/burn/the/trash/tomorrow.,Are/they/going/to/meet/you/in/hell?,I’m/not/going to/go to/the school/with/the/polite girl.,They’re/going/to/do/it/with/me.,Can/they/sleep/well/tonight?,He/can’t/swing/a bamboo/in/front/of/me.,Did/you/wash/your/feet/before/eating/rice?,I/washed/his/face/with/black/water.,I/wrote/his/name/on/your/face.,I/didn't/change/his/brain/just/in/case.,They/could/raise/their/heads.,He/couldn't/lie/on/the/slippery/floor.,You/may/tap/the/crying/cat.,You/may/tap/the/crying/cat.
26,May/I/wash/your/cell/phone/with/hot water?,You/may/cross/your/legs/now.,You/must/not/up/load/her/picture.,Do/they/tell/their/opinion/in/your/office?,They/turn/off/the/heater/on/a/cold day.,You/may/go/out/now.,Is/she/going/to/cover/my/red/face?,He’s/not/going/to/give/a machine gun/to/a terrorist.,Are/they/going/to/store/the/information?,They’re/going/to/fix/benches/around/the/park.,They/aren’t/going/to/do/it/without/our help.,Can/she/sell/the/black/candle/to/him?,We/can/teach/English/grammar/easily.,Did/you/introduce/a/brand/new drone/to/them?,I/sang/a/Korean/song/in/her/classroom.,I/understood/your/family/problem.,I/didn't/kick/the/front/door/hard.,I/could/raise/my/right/arm.,I/couldn't/smell/my/milk.,They/fixed/a/fake/cell/phone.,They/fixed/a/fake/cell/phone.
27,May/I/cross/the/cross/street/now?,You/may/cross/the/deep/river/by/bike.,You/must/not/punch/me./,Do/they/watch/the/family/movie/every/year?,They/bark/at/the/dog/every/night.,You/must/not/go/out/now.,Is/she/going/to/pick/apples/in/summer?,She/isn’t/going/to/take/the friend/to/the place.,Are/they/going/to/solve/the/complex/problem?,We’re/going/to/borrow/a/brave/cat/from you.,Are/they/going/to/do/it/without/air?,Can/they/make/the/crying/pig/smile?,We/can‘t/use/this/phone/on/the/mountain.,Did/you/pinch/his/nose/suddenly?,I/played/with/them/on/a/tall/tree.,I/broke/that/junk/robot.,I/didn't/write/your/nickname/on/the/board.,We/could/guarantee/his/high/tech.,He/couldn't/cure/my/little/finger.,They/couldn't/come/to/my/house/by/ship.,They/couldn't/come/to/my/house/by/ship.
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
